"Name"|"Club"|"Position"|"Marktwert"|"Einsaetze"|"Tore"|"Punkte"|"Punkte pro Spiel"|"Eff."|"Trend"|"MW"|"spiele"|"crap"|"scrape"|"buy"
"Arnautovic"|"SV Werder Bremen"|"Sturm"|"3.980.000"|"26 (25)"|5|68|"2,72"|"58.529"|""|3980000|26|"SV Werder Bremen"|"Arnautovic"|0
"Arnold"|"VfL Wolfsburg"|"Mittelfeld"|"2.830.000"|"6 (6)"|3|18|"3,00"|"157.222"|""|2830000|6|"VfL Wolfsburg"|"Arnold"|0
"Arslan"|"Hamburger SV"|"Mittelfeld"|"380.000"|"25 (22)"|0|0|"0,00"|"-"|""|380000|25|"Hamburger SV"|"Arslan"|0
"Aubameyang"|"Borussia Dortmund"|"Sturm"|"13.200.000"|"0 (0)"|0|0|"0,00"|"-"|""|13200000|0|"Borussia Dortmund"|"Aubameyang"|0
"Audel"|"VfB Stuttgart"|"Mittelfeld"|"200.000"|"0 (0)"|0|0|"0,00"|"-"|""|2e+05|0|"VfB Stuttgart"|"Audel"|0
"Avdic"|"SV Werder Bremen"|"Sturm"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"SV Werder Bremen"|"Avdic"|0
"Avevor"|"Hannover 96"|"Abwehr"|"170.000"|"0 (0)"|0|0|"0,00"|"-"|""|170000|0|"Hannover 96"|"Avevor"|0
"Ayhan"|"FC Schalke 04"|"Abwehr"|"480.000"|"0 (0)"|0|0|"0,00"|"-"|""|480000|0|"FC Schalke 04"|"Ayhan"|0
"B. Röcker"|""|"Abwehr"|"220.000"|"2 (0)"|0|0|"0,00"|"-"|""|220000|2|""|"B.+Röcker"|0
"Badelj"|"Hamburger SV"|"Mittelfeld"|"2.260.000"|"31 (31)"|1|49|"1,58"|"46.122"|""|2260000|31|"Hamburger SV"|"Badelj"|0
"Badstuber"|"FC Bayern München"|"Abwehr"|"1.550.000"|"12 (12)"|0|56|"4,67"|"27.679"|""|1550000|12|"FC Bayern München"|"Badstuber"|1
"Baier"|"FC Augsburg"|"Mittelfeld"|"2.260.000"|"33 (33)"|2|72|"2,18"|"31.389"|""|2260000|33|"FC Augsburg"|"Baier"|1
"Bajner"|"Borussia Dortmund"|"Sturm"|"320.000"|"1 (0)"|0|0|"0,00"|"-"|""|320000|1|"Borussia Dortmund"|"Bajner"|0
"Balitsch"|"1. FC Nürnberg"|"Mittelfeld"|"780.000"|"33 (33)"|1|38|"1,15"|"20.526"|""|780000|33|"1. FC Nürnberg"|"Balitsch"|1
"Ballas"|"Hannover 96"|"Abwehr"|"170.000"|"0 (0)"|0|0|"0,00"|"-"|""|170000|0|"Hannover 96"|"Ballas"|0
"Bancé"|"FC Augsburg"|"Sturm"|"270.000"|"18 (12)"|0|-10|"-0,83"|"-"|""|270000|18|"FC Augsburg"|"Bancé"|0
"Bargfrede"|"SV Werder Bremen"|"Mittelfeld"|"300.000"|"13 (9)"|0|4|"0,44"|"75.000"|""|3e+05|13|"SV Werder Bremen"|"Bargfrede"|0
"Barnetta"|"FC Schalke 04"|"Mittelfeld"|"610.000"|"21 (10)"|0|-12|"-1,20"|"-"|""|610000|21|"FC Schalke 04"|"Barnetta"|0
"Bastos"|"FC Schalke 04"|"Sturm"|"4.370.000"|"14 (14)"|4|28|"2,00"|"156.071"|""|4370000|14|"FC Schalke 04"|"Bastos"|0
"Batz"|"SC Freiburg"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"SC Freiburg"|"Batz"|0
"Baumann"|"SC Freiburg"|"Torwart"|"2.900.000"|"34 (34)"|0|124|"3,65"|"23.387"|""|2900000|34|"SC Freiburg"|"Baumann"|0
"Baumgartlinger"|"1. FSV Mainz 05"|"Mittelfeld"|"3.230.000"|"32 (32)"|0|87|"2,72"|"37.126"|""|3230000|32|"1. FSV Mainz 05"|"Baumgartlinger"|0
"Baumjohann"|"Hertha BSC"|"Mittelfeld"|"2.900.000"|"0 (0)"|0|0|"0,00"|"-"|""|2900000|0|"Hertha BSC"|"Baumjohann"|0
"Beck"|"1899 Hoffenheim"|"Abwehr"|"1.150.000"|"31 (31)"|1|7|"0,23"|"164.286"|""|1150000|31|"1899 Hoffenheim"|"Beck"|0
"Beister"|"Hamburger SV"|"Sturm"|"2.580.000"|"23 (18)"|3|9|"0,50"|"286.667"|""|2580000|23|"Hamburger SV"|"Beister"|0
"Bell"|"1. FSV Mainz 05"|"Abwehr"|"300.000"|"8 (5)"|0|6|"1,20"|"50.000"|""|3e+05|8|"1. FSV Mainz 05"|"Bell"|0
"Bellarabi"|"Bayer 04 Leverkusen"|"Sturm"|"1.390.000"|"8 (6)"|0|12|"2,00"|"115.833"|""|1390000|8|"Bayer 04 Leverkusen"|"Bellarabi"|0
"Ben-Hatira"|"Hertha BSC"|"Mittelfeld"|"860.000"|"0 (0)"|0|0|"0,00"|"-"|""|860000|0|"Hertha BSC"|"Ben-Hatira"|0
"Benaglio"|"VfL Wolfsburg"|"Torwart"|"2.730.000"|"34 (34)"|0|134|"3,94"|"20.373"|""|2730000|34|"VfL Wolfsburg"|"Benaglio"|0
"Berko"|"VfB Stuttgart"|"Sturm"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"VfB Stuttgart"|"Berko"|0
"Bicakcic"|"Eintracht Braunschweig"|"Abwehr"|"1.230.000"|"0 (0)"|0|0|"0,00"|"-"|""|1230000|0|"Eintracht Braunschweig"|"Bicakcic"|0
"Bittencourt"|"Hannover 96"|"Mittelfeld"|"4.830.000"|"5 (5)"|1|4|"0,80"|"1.207.500"|""|4830000|5|"Hannover 96"|"Bittencourt"|0
"Blaswich"|"Borussia M'gladbach"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Borussia M'gladbach"|"Blaswich"|0
"Blaszczykowski"|"Borussia Dortmund"|"Mittelfeld"|"9.220.000"|"27 (27)"|11|159|"5,89"|"57.987"|""|9220000|27|"Borussia Dortmund"|"Blaszczykowski"|0
"Boenisch"|"Bayer 04 Leverkusen"|"Abwehr"|"2.150.000"|"15 (13)"|1|43|"3,31"|"50.000"|""|2150000|15|"Bayer 04 Leverkusen"|"Boenisch"|0
"Boka"|"VfB Stuttgart"|"Abwehr"|"1.250.000"|"25 (25)"|1|29|"1,16"|"43.103"|""|1250000|25|"VfB Stuttgart"|"Boka"|0
"Boland"|"Eintracht Braunschweig"|"Mittelfeld"|"910.000"|"0 (0)"|0|0|"0,00"|"-"|""|910000|0|"Eintracht Braunschweig"|"Boland"|0
"Bonmann"|"Borussia Dortmund"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Borussia Dortmund"|"Bonmann"|0
"Braafheid"|"1899 Hoffenheim"|"Abwehr"|"240.000"|"0 (0)"|0|0|"0,00"|"-"|""|240000|0|"1899 Hoffenheim"|"Braafheid"|0
"Brooks"|"Hertha BSC"|"Abwehr"|"1.340.000"|"0 (0)"|0|0|"0,00"|"-"|""|1340000|0|"Hertha BSC"|"Brooks"|0
"Brouwers"|"Borussia M'gladbach"|"Abwehr"|"1.000.000"|"21 (17)"|1|37|"2,18"|"27.027"|""|1e+06|21|"Borussia M'gladbach"|"Brouwers"|0
"Bungert"|"1. FSV Mainz 05"|"Abwehr"|"790.000"|"8 (8)"|0|12|"1,50"|"65.833"|""|790000|8|"1. FSV Mainz 05"|"Bungert"|0
"Burchert"|"Hertha BSC"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Hertha BSC"|"Burchert"|0
"C. Fuchs"|"FC Schalke 04"|"Abwehr"|"1.820.000"|"29 (26)"|0|36|"1,38"|"50.556"|""|1820000|29|"FC Schalke 04"|"C.+Fuchs"|0
"C. Röcker"|""|"Abwehr"|"240.000"|"0 (0)"|0|0|"0,00"|"-"|""|240000|0|""|"C.+Röcker"|0
"C. Schulz"|"Hannover 96"|"Abwehr"|"450.000"|"19 (19)"|1|8|"0,42"|"56.250"|""|450000|19|"Hannover 96"|"C.+Schulz"|0
"Cacau"|"VfB Stuttgart"|"Sturm"|"1.200.000"|"5 (5)"|1|3|"0,60"|"400.000"|""|1200000|5|"VfB Stuttgart"|"Cacau"|0
"Caldirola"|"SV Werder Bremen"|"Abwehr"|"4.610.000"|"0 (0)"|0|0|"0,00"|"-"|""|4610000|0|"SV Werder Bremen"|"Caldirola"|0
"Calhanoglu"|"Hamburger SV"|"Mittelfeld"|"4.320.000"|"0 (0)"|0|0|"0,00"|"-"|""|4320000|0|"Hamburger SV"|"Calhanoglu"|0
"Callsen-Bracker"|"FC Augsburg"|"Abwehr"|"610.000"|"24 (23)"|2|32|"1,39"|"19.063"|""|610000|24|"FC Augsburg"|"Callsen-Bracker"|0
"Can"|"FC Bayern München"|"Mittelfeld"|"1.420.000"|"4 (4)"|1|12|"3,00"|"118.333"|""|1420000|4|"FC Bayern München"|"Can"|0
"Casteels"|"1899 Hoffenheim"|"Torwart"|"1.140.000"|"16 (16)"|0|30|"1,88"|"38.000"|""|1140000|16|"1899 Hoffenheim"|"Casteels"|0
"Castro"|"Bayer 04 Leverkusen"|"Mittelfeld"|"7.820.000"|"31 (31)"|6|142|"4,58"|"55.070"|""|7820000|31|"Bayer 04 Leverkusen"|"Castro"|0
"Celozzi"|"Eintracht Frankfurt"|"Abwehr"|"250.000"|"27 (14)"|0|-6|"-0,43"|"-"|""|250000|27|"Eintracht Frankfurt"|"Celozzi"|0
